Id	NEAR_X	NEAR_Y
0	3.6241	2.3769
1	2.5448	2.3023
2	2.3907	1.8084
3	1.4912	2.3636
4	0.7891	2.4441
5	2.3173	1.6466
6	2.1132	1.5447
7	1.4401	2.5730
8	2.1145	3.1873
9	3.5636	2.4101
10	2.1816	3.0162
11	0.9763	1.3045
12	1.9191	2.2343
13	2.1001	2.1107
14	2.4846	2.0438
15	5.3833	5.1978
16	4.7017	4.5476
17	4.4340	5.2909
18	4.9299	6.1411
19	5.1429	6.1980
20	4.4040	5.1181
21	4.3180	5.0002
22	5.6156	4.9060
23	4.9811	5.3899
24	6.2929	4.6338
25	4.5468	4.7921
26	5.0882	4.7123
27	5.3353	5.6149
28	4.4445	6.1177
29	4.3197	5.3663
