Id,X,Y,Cluster_ID,Rho,Delta,Gamma,Is_Peak
0,37.4540,64.2032,57,4.34,5.94,25.78,NO
1,95.0714,8.4140,192,3.69,23.94,88.35,NO
2,73.1994,16.1629,192,3.00,8.16,24.51,NO
3,59.8658,89.8554,115,3.94,0.90,3.55,NO
4,15.6019,60.6429,57,4.62,5.34,24.68,NO
5,15.5995,0.9197,90,3.70,3.65,13.51,NO
6,5.8084,10.1472,90,4.10,0.93,3.80,NO
7,86.6176,66.3502,115,6.05,3.29,19.92,NO
8,60.1115,0.5062,192,2.07,6.51,13.45,NO
9,70.8073,16.0808,192,2.94,2.39,7.03,NO
10,2.0584,54.8734,57,3.39,3.26,11.04,NO
11,96.9910,69.1895,115,2.43,7.11,17.27,NO
12,83.2443,65.1961,115,5.58,3.57,19.91,NO
13,21.2339,22.4269,90,2.71,3.17,8.60,NO
14,18.1825,71.2179,57,6.36,2.15,13.65,NO
15,18.3405,23.7249,90,3.25,6.40,20.77,NO
16,30.4242,32.5400,82,4.52,3.80,17.19,NO
17,52.4756,74.6491,115,4.49,0.64,2.88,NO
18,43.1945,64.9633,57,3.65,5.54,20.23,NO
19,29.1229,84.9223,57,4.39,3.00,13.16,NO
20,61.1853,65.7613,115,3.99,2.50,9.97,NO
21,13.9494,56.8309,57,3.71,4.15,15.42,NO
22,29.2145,9.3675,90,4.16,3.34,13.88,NO
23,36.6362,36.7716,82,5.67,2.05,11.62,NO
24,45.6070,26.5202,192,3.18,5.70,18.12,NO
25,78.5176,24.3990,192,2.35,4.97,11.67,NO
26,19.9674,97.3011,57,4.74,3.36,15.93,NO
27,51.4234,39.3098,82,1.53,5.74,8.80,NO
28,59.2415,89.2047,115,4.03,6.95,27.97,NO
29,4.6450,63.1139,57,5.43,3.34,18.14,NO
30,60.7545,79.4811,115,5.01,4.86,24.35,NO
31,17.0524,50.2637,57,1.71,7.26,12.42,NO
32,6.5052,57.6904,57,5.24,4.81,25.21,NO
33,94.8886,49.2518,115,3.42,4.20,14.38,NO
