Id	NEAR_X	NEAR_Y
0	37.4540	64.2032
1	95.0714	8.4140
2	73.1994	16.1629
3	59.8658	89.8554
4	15.6019	60.6429
5	15.5995	0.9197
6	5.8084	10.1472
7	86.6176	66.3502
8	60.1115	0.5062
9	70.8073	16.0808
10	2.0584	54.8734
11	96.9910	69.1895
12	83.2443	65.1961
13	21.2339	22.4269
14	18.1825	71.2179
15	18.3405	23.7249
16	30.4242	32.5400
17	52.4756	74.6491
18	43.1945	64.9633
19	29.1229	84.9223
20	61.1853	65.7613
21	13.9494	56.8309
22	29.2145	9.3675
23	36.6362	36.7716
24	45.6070	26.5202
25	78.5176	24.3990
26	19.9674	97.3011
27	51.4234	39.3098
28	59.2415	89.2047
29	4.6450	63.1139
30	60.7545	79.4811
31	17.0524	50.2637
32	6.5052	57.6904
33	94.8886	49.2518
34	96.5632	19.5243
35	80.8397	72.2452
36	30.4614	28.0772
37	9.7672	2.4316
38	68.4233	64.5472
39	44.0152	17.7111
40	12.2038	94.0459
41	49.5177	95.3929
42	3.4389	91.4864
43	90.9320	37.0159
44	25.8780	1.5457
45	66.2522	92.8319
46	31.1711	42.8184
47	52.0068	96.6655
48	54.6710	96.3620
49	18.4854	85.3009
50	96.9585	29.4449
51	77.5133	38.5098
52	93.9499	85.1137
53	89.4827	31.6922
54	59.7900	16.9493
55	92.1874	55.6801
56	8.8493	93.6155
57	19.5983	69.6030
58	4.5227	57.0061
59	32.5330	9.7176
60	38.8677	61.5007
61	27.1349	99.0054
62	82.8738	14.0084
63	35.6753	51.8330
64	28.0935	87.7373
65	54.2696	74.0769
66	14.0924	69.7016
67	80.2197	70.2484
68	7.4551	35.9491
69	98.6887	29.3592
70	77.2245	80.9361
71	19.8716	81.0113
72	0.5522	86.7072
73	81.5461	91.3241
74	70.6857	51.1342
75	72.9007	50.1516
76	77.1270	79.8295
77	7.4045	64.9964
78	35.8466	70.1967
79	11.5869	79.5793
80	86.3103	89.0005
81	62.3298	33.7995
82	33.0898	37.5583
83	6.3558	9.3982
84	31.0982	57.8280
85	32.5183	3.5942
86	72.9606	46.5598
87	63.7557	54.2645
88	88.7213	28.6541
89	47.2215	59.0833
90	11.9594	3.0500
91	71.3245	3.7348
92	76.0785	82.2601
93	56.1277	36.0191
94	77.0967	12.7061
95	49.3796	52.2243
96	52.2733	76.9994
97	42.7541	21.5821
98	2.5419	62.2890
99	10.7891	8.5347
100	3.1429	5.1682
101	63.6410	53.1355
102	31.4356	54.0635
103	50.8571	63.7430
104	90.7566	72.6091
105	24.9292	97.5852
106	41.0383	51.6300
107	75.5551	32.2956
108	22.8798	79.5186
109	7.6980	27.0832
110	28.9751	43.8971
111	16.1221	7.8456
112	92.9698	2.5351
113	80.8120	96.2648
114	63.3404	83.5980
115	87.1461	69.5974
116	80.3672	40.8953
117	18.6570	17.3294
118	89.2559	15.6437
119	53.9342	25.0243
120	80.7440	54.9227
121	89.6091	71.4596
122	31.8003	66.0197
123	11.0052	27.9934
124	22.7935	95.4865
125	42.7108	73.7897
126	81.8015	55.4354
127	86.0731	61.1721
128	0.6952	41.9600
129	51.0747	24.7731
130	41.7411	35.5973
131	22.2108	75.7846
132	11.9865	1.4393
133	33.7615	11.6073
134	94.2910	4.6003
135	32.3203	4.0729
136	51.8791	85.5461
137	70.3019	70.3658
138	36.3630	47.4174
139	97.1782	9.7834
140	96.2447	49.1616
141	25.1782	47.3472
142	49.7249	17.3202
143	30.0878	43.3852
144	28.4840	39.8505
145	3.6887	61.5850
146	60.9564	63.5094
147	50.2679	4.5304
148	5.1479	37.4613
149	27.8646	62.5860
150	90.8266	50.3136
151	23.9562	85.6490
152	14.4895	65.8694
153	48.9453	16.2934
154	98.5650	7.0569
155	24.2055	64.2419
156	67.2136	2.6511
157	76.1620	58.5776
158	23.7638	94.0230
159	72.8216	57.5474
160	36.7783	38.8170
161	63.2306	64.3288
162	63.3530	45.8253
163	53.5775	54.5617
164	9.0290	94.1465
165	83.5302	38.6103
166	32.0780	96.1191
167	18.6519	90.5351
168	4.0775	19.5791
169	59.0893	6.9361
170	67.7564	10.0778
171	1.6588	1.8222
172	51.2093	9.4443
173	22.6496	68.3007
174	64.5173	7.1189
175	17.4366	31.8976
176	69.0938	84.4875
177	38.6735	2.3272
178	93.6730	81.4468
179	13.7521	28.1855
180	34.1066	11.8165
181	11.3474	69.6737
182	92.4694	62.8943
183	87.7339	87.7472
184	25.7942	73.5071
185	65.9984	80.3481
186	81.7222	28.2035
187	55.5201	17.7440
188	52.9651	75.0615
189	24.1852	80.6835
190	9.3103	99.0505
191	89.7216	41.2618
192	90.0418	37.2018
193	63.3101	77.6413
194	33.9030	34.0804
195	34.9210	93.0757
196	72.5956	85.8413
197	89.7110	42.8994
198	88.7086	75.0871
199	77.9876	75.4543
