Id	NEAR_X	NEAR_Y
0	29.2795	29.1355
1	29.4434	33.5099
2	29.3621	22.5132
3	31.6616	28.6633
4	28.9152	30.5794
5	31.1615	35.8178
6	33.2832	30.5525
7	26.3084	24.9267
8	31.2317	36.5554
9	30.2083	29.4684
10	32.6589	22.7323
11	28.4386	32.4518
12	34.367	28.7969
13	31.883	31.2411
14	33.9116	24.4339
15	32.8413	22.4274
16	16.9003	26.9655
17	25.4209	34.3801
18	33.3213	23.9046
19	34.2368	24.989
20	29.5688	28.5305
21	30.5721	34.0932
22	33.1921	31.7494
23	33.2497	32.3925
24	26.8651	26.4131
25	27.6502	32.4966
26	28.7494	41.6788
27	25.9035	24.5056
28	33.8424	37.1092
29	32.5285	34.1791
30	37.1317	29.5299
31	22.8852	27.3396
32	34.7645	22.7816
33	30.1677	31.2662
34	28.422	33.6182
35	32.9039	41.607
36	33.0998	26.953
37	27.191	25.8421
38	34.7614	27.1658
39	29.6487	33.7465
40	26.3827	28.5317
41	20.7936	24.5876
42	27.1613	32.0788
43	35.9675	29.9077
44	31.3068	30.8398
45	35.4237	34.4668
46	31.3685	24.9453
47	34.5169	31.9052
48	36.1347	29.8505
49	39.7655	28.2056
50	37.9653	30.5756
51	27.4187	24.3578
52	29.2448	37.1166
53	34.0819	33.4444
54	18.1206	33.5548
55	32.7793	27.2504
56	26.8631	29.9884
57	38.6244	24.7245
58	27.861	36.8089
59	27.7692	28.1787
60	30.4889	23.7936
61	31.0997	23.9519
62	34.426	30.0159
63	41.4172	31.4042
64	36.8284	23.4837
65	29.3893	31.6157
66	38.7286	21.5954
67	34.9531	32.9568
68	37.6677	33.5619
69	30.2604	27.3918
70	23.7591	30.9771
71	29.0415	40.1013
72	26.9449	31.602
73	22.155	28.0227
74	31.3057	34.1198
75	37.2405	29.7793
76	24.4138	32.2893
77	32.5849	32.4583
78	26.4986	35.6669
79	30.4395	33.4991
80	36.3704	33.0464
81	31.4326	40.764
82	31.2185	28.5202
83	30.5598	37.4138
84	30.5936	32.5969
85	35.9787	27.4357
86	21.3672	31.4971
87	31.1487	26.9599
88	34.3554	33.0378
89	25.025	32.5911
90	29.0195	22.5849
91	32.2648	29.7739
92	26.2736	32.6147
93	32.4405	27.1123
94	32.0018	35.0753
95	26.4367	31.9045
96	30.0138	41.3301
97	20.6885	33.4764
98	28.4688	29.499
99	39.5079	29.9571
100	41.2047	27.7893
101	31.7526	27.5458
102	26.5466	30.3124
103	28.5871	31.0125
104	19.4749	40.0123
105	29.165	38.7145
106	24.9644	31.4627
107	45.8247	25.6514
108	22.5235	27.2675
109	32.3624	33.4667
110	36.4518	28.7149
111	21.9887	27.8249
112	36.2011	32.3283
113	20.2153	29.8247
114	36.9908	40.6327
115	32.8084	31.5465
116	23.799	25.7838
117	30.2346	32.516
118	32.9009	27.609
119	24.2403	26.1111
120	24.2151	33.217
121	18.4386	28.3336
122	32.2494	37.6101
123	30.3565	35.0064
124	28.005	26.278
125	26.628	37.6367
126	34.9711	32.437
127	46.6513	29.8383
128	33.1017	31.538
129	28.8906	41.5809
130	37.533	23.0026
131	28.0008	32.1417
132	33.9159	23.2578
133	18.7222	20.4682
134	29.6444	29.484
135	31.7261	26.1516
136	23.8788	19.8848
137	31.6459	31.8503
138	34.965	33.954
139	29.0464	36.7463
140	29.3182	26.6958
141	27.3971	27.0759
142	19.1713	30.7816
143	31.2494	28.1887
144	26.4308	31.859
145	38.5844	30.1913
146	27.4618	27.0428
147	29.6512	23.6762
148	29.3737	30.3059
149	39.2234	34.7174
150	35.1701	26.4353
151	33.3496	24.3031
152	31.5598	32.0937
153	26.168	39.9969
154	32.8369	20.4864
155	32.7643	27.9629
156	30.0069	32.3288
157	31.9527	19.8042
158	24.2084	33.8631
159	36.506	39.5158
160	39.0158	19.7223
161	33.8474	20.4185
162	38.068	31.2667
163	24.2942	40.0495
164	33.2199	20.5443
165	31.4673	26.3443
166	30.5565	27.674
167	36.8675	22.8836
168	31.587	39.0709
169	25.8652	31.0532
170	31.01	26.5515
171	33.2395	30.4853
172	25.2812	38.8101
173	33.9581	29.1645
174	26.8166	26.0782
175	36.1547	29.2676
176	32.2972	29.0777
177	33.082	29.4201
178	33.8193	29.0839
179	34.1479	33.3619
180	29.417	25.7011
181	25.2994	26.2963
182	25.0776	34.329
183	29.767	37.8505
184	41.3966	30.1211
185	22.2599	28.0927
186	29.6233	22.5578
187	28.7475	31.4347
188	27.7029	26.1579
189	26.2062	38.9334
190	29.2018	25.8503
191	28.1355	34.7717
192	26.5766	32.4092
193	33.6394	33.7456
194	36.9985	27.2476
195	35.6637	26.0357
196	28.0173	35.9804
197	34.1119	30.0105
198	24.0429	32.8083
199	26.8481	25.3806
200	26.7593	31.2325
201	19.3948	31.8038
202	30.8695	27.0774
203	35.1846	33.0572
204	26.9686	26.6499
205	33.4758	22.4196
206	28.3369	26.8448
207	30.3494	31.0556
208	30.1839	35.6742
209	31.1403	28.425
210	23.9457	33.6092
211	32.6407	37.254
212	26.2627	30.1321
213	29.7065	29.5619
214	30.052	21.4273
215	34.1249	33.266
216	35.6524	41.2479
217	28.4052	29.8193
218	30.0489	39.7109
219	21.3439	32.4288
220	22.6458	17.0921
221	19.8958	23.0912
222	35.3451	25.6582
223	28.8627	24.1824
224	33.0548	24.4902
225	36.5883	25.0345
226	26.1759	30.6137
227	30.1236	37.1235
228	30.602	23.9608
229	27.1983	27.1361
230	33.6252	31.919
231	29.403	34.348
232	27.3575	29.3188
233	30.9038	37.6409
234	29.5073	28.246
235	24.7708	33.4303
236	27.0618	31.7184
237	20.492	35.2159
238	23.3403	26.1133
239	35.2929	23.3276
240	29.6027	30.3713
241	25.0072	36.7147
242	37.4939	20.1419
243	22.755	34.0412
244	23.4849	28.0568
245	30.6478	33.4593
246	28.8837	30.4761
247	26.1163	36.4618
248	27.5234	31.6987
249	27.4418	30.5316
250	29.1592	29.1877
251	24.9311	33.9821
252	37.0702	31.2157
253	33.6617	34.1903
254	34.6399	31.5168
255	31.0613	34.32
256	30.3442	25.1304
257	30.1192	20.5579
258	29.9705	32.0669
259	36.1799	30.7564
260	34.6407	29.9973
261	24.8826	22.9431
262	25.1513	23.1693
263	33.1685	28.9619
264	32.8516	30.3672
265	35.2202	35.301
266	26.7733	28.6284
267	27.3359	21.8934
268	33.3761	35.944
269	29.9679	27.534
270	35.4545	18.2752
271	30.8874	30.7164
272	27.1457	36.9579
273	34.8537	28.6942
274	29.5665	28.0599
275	27.4394	23.459
276	36.8997	35.14
277	33.9908	24.5283
278	40.4042	39.9008
279	30.9403	25.4789
280	25.6678	32.0927
281	25.4349	29.8289
282	35.4432	22.4659
283	40.0286	37.8335
284	23.8146	22.9318
285	28.5829	24.8443
286	28.6814	17.0941
287	28.8565	39.0143
288	24.417	28.6347
289	22.552	33.1912
290	28.8734	39.7037
291	31.0342	28.1391
292	32.7514	27.4689
293	23.3035	31.5097
294	29.1257	30.8316
295	31.8773	27.4484
296	32.1079	38.6885
297	24.461	38.6871
298	28.786	26.1669
299	42.1361	30.7751
300	36.852	34.088
301	21.597	30.6041
302	27.3734	23.291
303	21.1414	30.5115
304	32.9513	31.9533
305	28.4709	26.0074
306	25.0657	27.2242
307	24.8347	28.9836
308	29.8856	25.5201
309	28.8397	26.1984
310	29.9776	32.5354
311	30.8906	32.3608
312	21.7399	28.1065
313	31.3837	33.2058
314	22.01	30.7959
315	36.0321	29.1069
316	29.5262	32.2523
317	31.2356	33.3732
318	30.3621	30.7625
319	26.0878	29.1478
320	36.2656	28.9792
321	29.1572	27.5425
322	33.9359	25.7266
323	34.5525	25.3151
324	24.7111	31.0297
325	30.6509	31.4878
326	35.3127	27.9375
327	32.215	25.4509
328	36.2958	33.1623
329	32.6826	30.9394
330	26.072	28.3631
331	32.5089	29.9041
332	30.6187	23.2009
333	30.9055	26.5404
334	24.5833	29.2266
335	20.7175	33.4928
336	34.2601	29.7328
337	25.0311	25.2732
338	29.2444	17.8813
339	30.9024	33.3222
340	28.4405	27.528
341	30.9098	31.7532
342	35.4708	30.092
343	26.5512	27.6937
344	30.9097	37.781
345	28.3986	24.7374
346	25.6495	19.5183
347	31.649	23.1934
348	23.8325	20.1199
349	24.4101	32.8421
350	23.4432	21.2518
351	30.8913	28.2941
352	32.161	33.7028
353	29.9575	23.5112
354	29.381	32.5013
355	27.0851	22.8127
356	35.5131	27.9238
357	27.9538	30.0798
358	35.1524	31.3181
359	28.3339	33.4107
360	40.7351	36.9389
361	33.3644	24.3886
362	48.7603	24.0067
363	28.141	26.5006
364	38.1345	32.1012
365	22.8644	31.3379
366	32.7345	28.4076
367	23.8991	26.3748
368	27.8158	30.1137
369	27.4005	33.6761
370	25.2503	21.3431
371	26.303	36.7445
372	27.1342	41.704
373	32.4574	24.1779
374	25.8286	31.2169
375	24.1118	41.8729
376	25.0455	33.4047
377	37.3006	29.454
378	25.0207	28.6347
379	31.8111	34.3788
380	30.2836	22.9989
381	30.2116	26.6332
382	19.0838	26.5122
383	22.8377	32.9343
384	39.7208	39.2938
385	27.134	27.663
386	33.4439	35.3064
387	27.9063	29.2868
388	41.0346	29.4627
389	27.5734	30.5996
390	32.8985	24.8918
391	28.758	24.1682
392	28.6087	39.3846
393	33.7086	29.5373
394	25.3344	28.443
395	35.2537	27.1916
396	37.2521	23.1318
397	28.5498	38.7138
398	19.9608	35.9421
399	20.7431	29.5496
400	29.1373	34.1215
401	14.2273	20.411
402	27.1699	30.1845
403	25.5339	28.8957
404	24.0691	27.9936
405	25.7662	31.2201
406	32.9071	37.1647
407	26.7179	28.41
408	30.2387	28.5254
409	29.74	22.1891
410	31.8588	25.424
411	25.2152	22.0594
