Id	NEAR_X	NEAR_Y
0	63.9427	14.326
1	2.5011	66.0212
2	27.5029	22.1043
3	22.3211	30.0501
4	73.6471	6.0958
5	67.6699	94.852
6	89.218	87.9714
7	8.6939	91.1578
8	42.1922	62.5993
9	2.9797	42.7201
10	21.8638	49.5621
11	50.5355	97.229
12	2.6536	94.1586
13	19.8838	67.1343
14	64.9884	78.5805
15	54.4941	31.8734
16	22.0441	41.6325
17	58.9266	14.9218
18	80.943	37.646
19	0.6499	75.4416
20	80.5819	47.3519
21	69.8139	84.9341
22	34.0251	30.0736
23	15.5479	70.7577
24	95.7213	80.5776
25	33.6595	91.4741
26	9.2746	56.2386
27	9.6716	96.7786
28	84.7494	55.7287
29	60.3726	13.4093
30	80.7128	24.2859
31	72.9732	20.3337
32	53.6228	64.6706
33	97.3116	92.2226
34	37.8534	84.7133
35	55.2041	9.2464
36	82.9405	72.4585
37	61.852	19.0482
38	86.1707	26.8462
39	57.7352	67.3672
40	70.4572	60.2922
41	4.5824	87.362
42	22.7898	18.8163
43	28.9388	76.1696
44	7.9792	72.4305
45	23.2791	55.885
46	10.1001	47.9394
47	27.7974	86.9474
48	63.5684	33.2964
49	36.4832	95.702
50	37.0181	1.5334
51	20.9507	93.716
52	26.6978	96.2078
53	93.6655	11.7316
54	64.8035	99.9572
55	60.9131	47.8921
56	17.1139	24.2593
57	72.9127	60.4402
58	16.3402	20.4513
59	37.9455	91.5126
60	98.9523	55.2079
61	64.0	77.5514
62	55.695	38.0662
63	68.4614	53.365
64	84.2852	35.926
65	77.6	26.1562
66	22.9048	51.2817
67	3.21	49.7277
68	31.5453	9.8608
69	26.7741	98.1318
70	21.0983	46.949
71	94.291	83.9731
72	87.6368	91.433
73	31.4678	37.0705
74	65.5439	41.393
75	39.5632	56.2525
76	91.4548	22.1274
77	45.8852	14.5923
78	26.488	26.0774
79	24.6628	93.4758
80	56.1368	57.9143
81	26.2742	41.7578
82	58.4586	15.2411
83	89.7823	32.9865
84	39.9401	37.984
85	21.9321	83.3363
86	99.7538	49.9301
87	50.9526	65.4608
88	9.0909	68.4847
89	4.7116	25.7327
90	10.9649	82.1592
91	62.7446	96.6508
92	79.2079	64.1694
93	42.216	49.0596
94	6.3528	16.8234
95	38.1619	79.4976
96	99.6121	16.9266
97	52.9114	72.0314
98	97.1078	48.8316
99	86.078	91.6899
100	1.1481	54.2137
101	72.0722	64.1809
102	68.171	5.8732
103	53.697	3.3824
104	26.6825	84.6697
105	64.0962	94.5188
106	11.1552	66.8216
107	43.4765	76.4339
108	45.3724	41.2392
109	95.3816	84.2545
110	87.5853	23.1433
111	26.3389	70.717
112	50.0586	0.9141
113	17.8652	50.5733
114	91.2628	37.3201
115	87.0519	61.7835
116	29.8445	66.6755
117	63.8949	61.6519
118	60.897	48.3204
119	15.2839	48.7854
120	76.2511	0.6612
121	53.9379	55.1644
122	77.8626	1.1851
123	53.0354	52.9418
124	0.0572	27.4741
125	32.4156	97.7479
126	1.9477	1.7143
127	92.9099	81.3157
128	87.8722	67.4033
129	83.1666	80.6168
130	30.7514	90.9773
131	5.7925	10.7016
132	87.801	9.6314
133	94.6949	14.8897
134	8.5653	19.1932
135	48.599	52.6456
136	6.9213	81.5214
137	76.0602	26.7325
138	76.5834	39.6896
139	12.8391	37.3052
140	47.5282	40.6027
141	54.9804	56.5002
142	26.5057	99.0233
143	87.2433	22.5857
144	42.3138	68.4042
145	21.1798	84.7867
