Id	NEAR_X	NEAR_Y
0	80.3537	46.7968
1	61.6650	96.7609
2	37.9879	10.6573
3	59.9760	10.8696
4	50.0750	96.8008
5	71.0922	85.8224
6	38.1062	67.6804
7	30.8207	31.0391
8	11.5263	29.8618
9	17.2681	53.6926
10	24.0942	22.2976
11	11.0056	42.5114
12	13.1572	88.6703
13	89.9165	63.8034
14	51.7103	22.7368
15	89.5136	11.9103
16	64.3323	31.7258
17	97.8531	24.7750
18	95.4289	84.7190
19	55.3941	19.9151
20	69.7427	11.5335
21	48.3430	42.0190
22	70.3476	64.9457
23	23.1305	50.4198
24	61.5945	26.9210
25	18.2781	54.2091
26	3.6595	12.7977
27	73.1960	71.4662
28	33.0356	98.3356
29	69.1990	18.0609
30	11.4138	60.9213
31	81.6229	64.1389
32	28.1169	13.5501
33	72.7053	88.6854
34	99.5259	41.3061
35	90.2021	99.7788
36	88.2799	52.7307
37	65.3168	10.1930
38	93.0201	78.6672
39	66.4068	14.1285
40	90.6815	86.2434
41	6.3282	94.6644
42	48.4254	60.3111
43	98.6734	90.0827
44	22.1362	81.1277
45	78.5549	81.3673
46	30.2441	94.5791
47	10.4461	10.1822
48	85.1960	61.2402
49	32.6398	31.2140
50	96.7456	96.6008
51	64.6346	35.1030
52	12.0809	92.7351
53	4.3998	51.0240
54	87.5361	76.7605
55	63.6141	43.5379
56	5.0884	68.2702
57	19.0401	3.8976
58	54.8086	97.6270
59	15.7853	71.5766
60	49.6215	0.3404
61	80.0869	51.7155
62	67.3334	67.4975
63	17.9021	44.8219
64	81.0489	38.2522
65	50.4508	69.4550
66	31.4462	63.9993
67	50.1371	43.3179
68	78.6947	12.9265
69	58.8096	38.0113
70	10.7472	50.2198
71	73.4575	67.7034
72	29.0571	25.3441
73	9.9365	93.7843
74	36.9051	45.0873
75	44.1509	60.0954
76	18.5260	98.7216
77	16.7599	81.9162
78	60.7060	69.2043
79	73.4594	93.3616
80	56.5653	19.0712
81	69.2660	9.2862
82	59.2450	69.4965
83	60.8534	47.7323
84	44.9105	32.4350
85	22.3794	51.8526
86	36.8614	50.2458
87	67.1539	52.5000
88	80.4298	89.7370
89	5.5162	64.0154
90	46.6605	60.3224
91	28.3856	72.7216
92	42.1686	83.0210
93	94.0432	22.2033
94	63.3468	89.7320
95	51.1831	58.0458
96	19.1397	3.6520
97	51.0783	33.9079
98	14.5479	50.5104
99	37.3294	13.2215
100	43.8749	14.5025
101	23.7380	20.8744
102	1.5535	10.4398
103	1.4613	22.9995
104	94.5368	95.4997
105	75.3902	34.0306
106	47.9513	82.7314
107	5.1086	75.8512
108	55.7857	5.9334
109	64.3353	70.4931
110	93.6815	77.4264
111	52.7346	33.6914
112	55.6776	27.9393
113	86.6353	24.5360
114	2.9840	3.1600
115	70.7724	83.6639
116	30.6860	74.1584
117	18.0226	16.9631
118	18.9760	36.3587
119	47.3394	69.3444
120	27.7271	50.1894
121	43.5009	2.3380
122	85.4658	40.5099
123	27.6458	92.7230
124	69.0573	56.1592
125	66.9457	10.8587
126	8.1652	82.6348
127	41.7942	48.8537
128	98.9167	87.0680
129	39.5944	60.0465
130	72.0233	44.5066
131	93.8412	11.6528
132	54.0535	15.8622
133	81.0257	95.5942
134	68.0444	80.6375
135	68.8945	49.4566
136	39.5216	64.6657
137	93.5405	40.7358
138	42.9173	86.8665
139	77.1987	8.1588
140	57.3675	33.0494
141	49.0935	4.9265
142	43.3828	11.8846
143	87.4306	98.6899
144	54.2767	73.1914
145	50.4340	51.7738
146	47.1171	70.5878
147	81.9809	2.8796
148	61.4059	1.7448
149	35.0583	44.4318
150	79.3936	75.2453
151	73.8343	28.1580
152	44.3244	61.3031
153	23.8331	78.8355
154	89.6857	32.3953
155	28.8043	42.1594
156	43.4609	3.6218
157	99.3869	22.2657
158	1.8299	18.8731
159	45.0060	50.4465
160	49.0412	70.0665
161	25.6565	75.9085
162	97.3979	52.8434
163	94.4274	28.8170
164	72.7635	9.0119
165	68.0297	24.3609
166	47.9174	80.5060
167	89.2761	73.3594
168	60.7079	2.7390
169	6.0382	41.1091
170	34.1412	5.1520
171	77.5135	24.3004
172	49.2299	3.7465
173	1.8489	76.8093
174	9.2040	41.1240
175	37.6750	89.0337
176	57.2718	37.9048
177	59.7704	35.0929
178	60.8233	48.9713
179	52.1502	69.9287
180	92.9835	66.4902
181	73.6074	69.4980
182	82.8552	27.3315
183	50.1752	81.0980
184	45.5432	31.0310
185	0.9851	39.9500
186	80.7689	44.9883
187	21.0886	69.6891
188	40.9692	68.7401
189	33.6348	89.9602
190	14.1410	27.3376
191	71.8106	42.9617
192	74.0460	26.0665
193	78.2226	53.7966
194	57.0158	24.8843
195	13.9992	96.2664
196	6.4202	38.4511
197	42.4961	67.9340
198	5.7136	5.1972
199	56.7681	74.0024
200	67.7228	29.4339
201	13.9006	65.4723
202	28.6524	61.1800
203	57.0115	48.2399
204	30.9808	78.2569
205	12.3171	29.5569
